03FF00	a2
03FF01	d7
03FF02	05
03FF03	6a
03FF04	4e
03FF05	5c
03FF06	e7
03FF07	df
03FF08	6f
03FF09	e2
03FF0a	43
03FF0b	0c
03FF0c	82
03FF0d	31
03FF0e	d5
03FF0f	f4
03FF10	29
03FF11	42
03FF12	55
03FF13	62
03FF14	4a
03FF15	f6
03FF16	b1
03FF17	38
03FF18	e1
03FF19	7c
03FF1a	27
03FF1b	25
03FF1c	92
03FF1d	c9
03FF1e	c1
03FF1f	ef
03FF20	4c
03FF21	ca
03FF22	f3
03FF23	04
03FF24	0b
03FF25	f6
03FF26	49
03FF27	0d
03FF28	35
03FF29	4f
03FF2a	d7
03FF2b	21
03FF2c	46
03FF2d	45
03FF2e	26
03FF2f	b9
03FF30	ca
03FF31	5c
03FF32	f2
03FF33	c5
03FF34	11
03FF35	e0
03FF36	cd
03FF37	e8
03FF38	10
03FF39	ed
03FF3a	11
03FF3b	81
03FF3c	d4
03FF3d	98
03FF3e	b7
03FF3f	1a
03FF40	43
03FF41	c0
03FF42	46
03FF43	6a
03FF44	00
03FF45	bd
03FF46	3e
03FF47	46
03FF48	df
03FF49	4d
03FF4a	99
03FF4b	2e
03FF4c	8a
03FF4d	ff
03FF4e	8c
03FF4f	d2
03FF50	72
03FF51	3c
03FF52	8f
03FF53	54
03FF54	5b
03FF55	60
03FF56	20
03FF57	b0
03FF58	7f
03FF59	3c
03FF5a	ba
03FF5b	08
03FF5c	53
03FF5d	61
03FF5e	3b
03FF5f	13
03FF60	3a
03FF61	1d
03FF62	2f
03FF63	47
03FF64	ce
03FF65	7c
03FF66	3f
03FF67	dc
03FF68	64
03FF69	d7
03FF6a	4b
03FF6b	08
03FF6c	46
03FF6d	bc
03FF6e	cb
03FF6f	76
03FF70	76
03FF71	a5
03FF72	f7
03FF73	2c
03FF74	00
03FF75	5a
03FF76	42
03FF77	54
03FF78	8b
03FF79	66
03FF7a	57
03FF7b	fb
03FF7c	b3
03FF7d	31
03FF7e	c3
03FF7f	da
03FF80	9d
03FF81	db
03FF82	38
03FF83	5b
03FF84	61
03FF85	da
03FF86	44
03FF87	1a
03FF88	3e
03FF89	65
03FF8a	33
03FF8b	01
03FF8c	61
03FF8d	f7
03FF8e	6f
03FF8f	fa
03FF90	46
03FF91	7a
03FF92	06
03FF93	1a
03FF94	cd
03FF95	dc
03FF96	00
03FF97	0c
03FF98	fd
03FF99	d2
03FF9a	b1
03FF9b	fe
03FF9c	f9
03FF9d	5d
03FF9e	c9
03FF9f	9b
03FFa0	46
03FFa1	0f
03FFa2	21
03FFa3	86
03FFa4	81
03FFa5	ff
03FFa6	96
03FFa7	30
03FFa8	7f
03FFa9	9d
03FFaa	28
03FFab	a0
03FFac	12
03FFad	26
03FFae	be
03FFaf	91
03FFb0	3f
03FFb1	8f
03FFb2	41
03FFb3	f6
03FFb4	a5
03FFb5	b7
03FFb6	2e
03FFb7	92
03FFb8	ee
03FFb9	51
03FFba	9d
03FFbb	ff
03FFbc	c9
03FFbd	e9
03FFbe	ab
03FFbf	e1
03FFc0	6a
03FFc1	26
03FFc2	38
03FFc3	c7
03FFc4	46
03FFc5	46
03FFc6	a3
03FFc7	5c
03FFc8	1c
03FFc9	0c
03FFca	78
03FFcb	e6
03FFcc	74
03FFcd	ae
03FFce	ab
03FFcf	6d
03FFd0	df
03FFd1	4f
03FFd2	17
03FFd3	b6
03FFd4	b1
03FFd5	94
03FFd6	56
03FFd7	46
03FFd8	5e
03FFd9	10
03FFda	b5
03FFdb	e5
03FFdc	1c
03FFdd	e2
03FFde	3e
03FFdf	01
03FFe0	ef
03FFe1	dc
03FFe2	46
03FFe3	6c
03FFe4	d1
03FFe5	2d
03FFe6	79
03FFe7	67
03FFe8	fc
03FFe9	4c
03FFea	81
03FFeb	79
03FFec	88
03FFed	3a
03FFee	e3
03FFef	58
03FFf0	a1
03FFf1	fb
03FFf2	ce
03FFf3	c4
03FFf4	bd
03FFf5	50
03FFf6	9d
03FFf7	85
03FFf8	1f
03FFf9	08
03FFfa	78
03FFfb	d6
03FFfc	47
03FFfd	b9
03FFfe	80
03FFff	18
