06FF00	db
06FF01	2b
06FF02	71
06FF03	93
06FF04	5c
06FF05	e3
06FF06	44
06FF07	17
06FF08	5a
06FF09	43
06FF0a	d2
06FF0b	46
06FF0c	ec
06FF0d	43
06FF0e	90
06FF0f	fa
06FF10	e1
06FF11	42
06FF12	85
06FF13	32
06FF14	43
06FF15	ae
06FF16	42
06FF17	43
06FF18	04
06FF19	44
06FF1a	04
06FF1b	1a
06FF1c	5c
06FF1d	c2
06FF1e	a6
06FF1f	dc
06FF20	d3
06FF21	14
06FF22	38
06FF23	de
06FF24	5b
06FF25	6a
06FF26	50
06FF27	90
06FF28	f2
06FF29	b7
06FF2a	7d
06FF2b	2d
06FF2c	38
06FF2d	03
06FF2e	c6
06FF2f	9f
06FF30	5c
06FF31	b3
06FF32	59
06FF33	85
06FF34	2b
06FF35	93
06FF36	6c
06FF37	c8
06FF38	77
06FF39	4c
06FF3a	92
06FF3b	19
06FF3c	a4
06FF3d	19
06FF3e	ec
06FF3f	1a
06FF40	ee
06FF41	31
06FF42	ab
06FF43	d4
06FF44	7b
06FF45	88
06FF46	e0
06FF47	5e
06FF48	15
06FF49	d0
06FF4a	0c
06FF4b	02
06FF4c	99
06FF4d	02
06FF4e	d6
06FF4f	ba
06FF50	38
06FF51	92
06FF52	ad
06FF53	1d
06FF54	96
06FF55	a2
06FF56	0d
06FF57	bd
06FF58	3c
06FF59	82
06FF5a	bd
06FF5b	1f
06FF5c	80
06FF5d	89
06FF5e	1d
06FF5f	a0
06FF60	a0
06FF61	83
06FF62	4e
06FF63	43
06FF64	02
06FF65	0a
06FF66	8f
06FF67	09
06FF68	15
06FF69	d1
06FF6a	6d
06FF6b	5b
06FF6c	46
06FF6d	c9
06FF6e	f5
06FF6f	fd
06FF70	9e
06FF71	c6
06FF72	11
06FF73	d2
06FF74	e1
06FF75	f2
06FF76	7f
06FF77	66
06FF78	10
06FF79	99
06FF7a	72
06FF7b	b6
06FF7c	33
06FF7d	e9
06FF7e	d4
06FF7f	f1
06FF80	c2
06FF81	14
06FF82	8a
06FF83	ff
06FF84	78
06FF85	5a
06FF86	b2
06FF87	2b
06FF88	ef
06FF89	22
06FF8a	cb
06FF8b	43
06FF8c	c3
06FF8d	ee
06FF8e	e9
06FF8f	fc
06FF90	cf
06FF91	33
06FF92	41
06FF93	d8
06FF94	f6
06FF95	2e
06FF96	00
06FF97	05
06FF98	ae
06FF99	43
06FF9a	26
06FF9b	e5
06FF9c	d5
06FF9d	96
06FF9e	d7
06FF9f	e2
06FFa0	a6
06FFa1	ca
06FFa2	27
06FFa3	09
06FFa4	01
06FFa5	71
06FFa6	29
06FFa7	f5
06FFa8	5d
06FFa9	e6
06FFaa	6e
06FFab	43
06FFac	43
06FFad	ff
06FFae	4c
06FFaf	ec
06FFb0	9b
06FFb1	d6
06FFb2	70
06FFb3	84
06FFb4	48
06FFb5	92
06FFb6	43
06FFb7	1e
06FFb8	91
06FFb9	5f
06FFba	4d
06FFbb	2a
06FFbc	7b
06FFbd	69
06FFbe	fd
06FFbf	5e
06FFc0	8b
06FFc1	03
06FFc2	ae
06FFc3	50
06FFc4	fa
06FFc5	12
06FFc6	48
06FFc7	5e
06FFc8	87
06FFc9	43
06FFca	6f
06FFcb	18
06FFcc	36
06FFcd	4d
06FFce	d0
06FFcf	af
06FFd0	39
06FFd1	95
06FFd2	f9
06FFd3	76
06FFd4	5d
06FFd5	90
06FFd6	43
06FFd7	43
06FFd8	01
06FFd9	71
06FFda	e8
06FFdb	f7
06FFdc	d4
06FFdd	43
06FFde	9d
06FFdf	43
06FFe0	98
06FFe1	f8
06FFe2	99
06FFe3	42
06FFe4	64
06FFe5	3c
06FFe6	61
06FFe7	a4
06FFe8	67
06FFe9	0d
06FFea	43
06FFeb	c9
06FFec	0d
06FFed	6e
06FFee	cf
06FFef	ac
06FFf0	51
06FFf1	04
06FFf2	e2
06FFf3	a8
06FFf4	33
06FFf5	82
06FFf6	63
06FFf7	0e
06FFf8	e6
06FFf9	25
06FFfa	5d
06FFfb	ed
06FFfc	c3
06FFfd	a9
06FFfe	8a
06FFff	c3	
